SuburbClass,Rooms,Bathroom,Distance,Latitude,Longitude,BuildingArea,Landsize,HouseAgeType_historic,HouseAgeType_modern
1,3,2.0,12.4,-37.78267,145.14278000000004,139.0,170.0,0,1
1,2,2.0,5.2,-37.7744,144.9498,87.0,156.0,0,1
1,4,3.0,11.4,-37.8869,145.0628,275.0,454.0,0,1
1,3,1.0,4.3,-37.77561,144.91695,126.0,199.0,1,0
3,2,1.0,10.6,-37.7518,145.0698,89.0,187.0,0,1
3,3,2.0,13.5,-37.7969,144.8086,152.0,667.0,0,1
1,3,1.0,4.1,-37.8516,144.9624,132.0,277.0,1,0
3,3,1.0,15.4,-37.82568,145.16752,125.0,757.0,1,0
3,2,1.0,6.3,-37.81481,144.88013,84.0,178.0,0,1
1,2,1.0,9.2,-37.8577,145.0576,115.0,334.0,1,0
3,3,2.0,22.2,-37.986,145.12035,122.0,533.0,0,1
1,3,2.0,10.5,-37.91068,145.00394,161.0,385.0,1,0
3,2,1.0,11.5,-37.7209,144.9179,76.0,138.0,0,1
3,4,2.0,14.6,-37.9387,145.0398,187.0,220.0,0,1
1,4,2.0,9.2,-37.7843,145.0891,275.0,610.0,0,1
1,3,2.0,11.4,-37.9023,145.0568,166.0,603.0,1,0
3,4,1.0,11.2,-37.70159,144.93948,133.0,697.0,1,0
3,4,1.0,8.4,-37.74684,144.9933,202.0,509.0,1,0
3,3,1.0,44.2,-37.40853,144.97749,77.0,502.0,0,1
3,4,2.0,12.6,-37.7952,144.8325,174.0,504.0,0,1
3,2,1.0,12.1,-37.707,144.9413,110.0,137.0,0,1
1,3,2.0,5.9,-37.7746,144.9031,120.0,440.0,1,0
3,3,1.0,12.4,-37.7141,144.9677,94.0,614.0,1,0
1,4,2.0,8.0,-37.861,144.8985,190.0,450.0,1,0
3,6,3.0,27.7,-37.62856,144.71825,254.0,850.0,0,1
1,4,2.0,2.6,-37.8147,145.0084,214.0,249.0,0,1
1,3,2.0,5.9,-37.86162,145.03065,141.0,312.0,1,0
3,4,2.0,10.8,-37.7763,144.8543,216.0,393.0,0,1
1,3,1.0,3.3,-37.8404,145.0022,172.0,178.0,1,0
3,4,2.0,10.5,-37.7404,145.0582,161.0,724.0,1,0
3,3,2.0,11.7,-37.73977,144.87734,175.0,404.0,0,1
1,3,2.0,3.0,-37.84388,144.95303,125.0,137.0,1,0
1,3,1.0,13.0,-37.9273,145.0479,121.0,348.0,1,0
3,5,2.0,11.2,-37.7391,144.8875,290.0,650.0,0,1
3,3,1.0,12.0,-37.71142,145.00377,120.0,653.0,1,0
3,4,2.0,35.4,-38.10226,145.14459,184.75,611.0,0,1
1,3,1.0,9.2,-37.7862,145.0781,124.0,665.0,1,0
3,3,2.0,16.1,-37.71636,145.09792,168.0,609.0,0,1
1,3,1.0,9.2,-37.8543,145.0889,118.0,753.0,1,0
3,3,1.0,16.3,-37.67605,145.03956000000005,160.0,533.0,0,1
3,3,1.0,8.4,-37.8422,144.8784,104.0,322.0,1,0
1,3,2.0,13.8,-37.91289,145.08065,138.0,669.0,1,0
3,4,2.0,21.3,-37.82507,145.24058,207.0,442.0,0,1
1,3,1.0,6.5,-37.7638,145.0182,115.0,517.0,1,0
3,2,1.0,5.2,-37.77279,144.94069,107.0,539.0,1,0
1,3,2.0,7.0,-37.75948,144.99615,140.0,199.0,0,1
3,4,2.0,29.8,-37.69548,144.56775,142.0,655.0,0,1
1,2,1.0,6.5,-37.76300000000001,145.0025,78.0,185.0,1,0
3,3,1.0,6.6,-37.8066,144.8853,134.0,371.0,1,0
3,4,2.0,23.5,-37.91692000000001,145.25896,190.0,675.0,0,1
1,3,1.0,11.2,-37.9254,145.0045,120.0,426.0,1,0
1,4,2.0,18.8,-37.93058,145.16308,165.0,726.0,1,0
3,3,1.0,8.8,-37.739,145.0238,101.0,503.0,1,0
1,3,2.0,6.9,-37.7704,144.9162,145.0,217.0,0,1
3,3,2.0,12.3,-37.90088,145.11692,144.0,295.0,0,1
1,4,2.0,13.4,-37.80505,145.14919,240.0,582.0,0,1
3,5,3.0,13.8,-37.8721,144.8105,268.0,729.0,0,1
3,2,1.0,35.4,-38.12477,145.13668,106.0,150.0,0,1
1,3,2.0,9.1,-37.7591,144.8923,149.0,217.0,0,1
3,2,1.0,13.0,-37.706,144.9245,115.0,705.0,1,0
3,4,1.0,9.9,-37.7346,144.9456,141.0,410.0,1,0
1,3,2.0,2.6,-37.82,144.9987,164.0,189.0,1,0
3,4,1.0,11.2,-37.697,144.9989,134.0,561.0,1,0
1,4,1.0,5.6,-37.8098,145.02200000000005,242.0,650.0,1,0
1,2,1.0,10.4,-37.85621,145.10641,94.0,731.0,1,0
3,3,1.0,5.1,-37.80828,144.8856,211.0,297.0,1,0
3,3,2.0,8.8,-37.7344,145.0208,124.0,637.0,1,0
3,4,2.0,12.8,-37.7381,144.8554,184.0,547.0,0,1
3,4,2.0,23.2,-37.82778,145.28958,193.0,656.0,0,1
3,3,1.0,10.8,-37.7905,144.8485,105.0,658.0,1,0
3,5,3.0,16.1,-37.78148,145.17818,252.0,785.0,0,1
1,4,3.0,7.5,-37.75788,144.90487,187.0,511.0,1,0
1,3,2.0,10.7,-37.9062,145.0173,121.0,401.0,1,0
1,2,1.0,8.0,-37.7555,144.9118,120.0,319.0,1,0
1,3,2.0,13.4,-37.84453,145.14446,127.0,548.0,0,1
3,3,1.0,7.8,-37.8046,144.8831,105.0,259.0,1,0
1,3,2.0,13.9,-37.9168,145.069,141.0,292.0,0,1
3,5,3.0,7.8,-37.7516,144.9593,108.0,635.0,1,0
3,3,3.0,12.8,-37.7459,144.8788,212.0,605.0,0,1
1,3,1.0,5.9,-37.777,144.9176,104.0,296.0,1,0
1,4,2.0,11.4,-37.91655,145.02448,148.0,603.0,1,0
1,4,2.0,11.2,-37.8693,145.0423,214.0,709.0,1,0
1,4,2.0,11.4,-37.8931,145.0479,237.0,687.0,0,1
3,3,1.0,9.4,-37.7369,145.0422,86.0,390.0,1,0
1,2,2.0,2.6,-37.8229,144.9931,89.0,170.0,1,0
1,4,3.0,9.7,-37.8042,145.1042,240.0,241.0,0,1
3,4,2.0,9.9,-37.7256,144.9383,287.0,646.0,0,1
1,3,1.0,9.7,-37.7411,144.9262,158.0,694.0,1,0
1,3,1.0,7.0,-37.76126,145.00247,90.0,275.0,1,0
3,2,1.0,15.4,-37.8231,145.17911,84.0,149.0,0,1
1,2,1.0,13.1,-37.8234,145.1235,82.0,151.0,0,1
3,3,2.0,10.8,-37.7827,144.8625,144.0,198.0,0,1
3,4,2.0,31.2,-38.0781,145.12429,134.0,633.0,1,0
3,3,1.0,8.4,-37.75277,145.00734,96.0,276.0,0,1
3,3,2.0,12.8,-37.7295,144.8644,140.0,532.0,1,0
3,3,2.0,10.5,-37.7453,145.0559,192.0,807.0,1,0
1,3,2.0,7.5,-37.8305,145.0475,176.0,466.0,1,0
3,3,2.0,6.2,-37.84769,144.87667,154.3,449.0,1,0
1,3,2.0,13.4,-37.83574,145.14866,103.0,232.0,0,1
3,4,2.0,14.9,-37.7154,145.0777,180.0,585.0,1,0
1,4,2.0,13.8,-37.7694,145.1222,260.0,650.0,0,1
3,3,1.0,12.8,-37.746,144.8651,111.0,703.0,0,1
3,4,1.0,11.1,-37.8375,144.8541,158.0,633.0,1,0
3,2,1.0,9.4,-37.7383,145.036,90.0,100.0,0,1
3,3,2.0,12.4,-37.7125,145.0306,153.0,468.0,0,1
1,4,2.0,11.7,-37.8593,145.1101,220.0,499.0,0,1
1,4,2.0,7.8,-37.8458,145.0611,210.0,686.0,1,0
3,2,2.0,11.2,-37.71147,144.93927,111.0,201.0,0,1
1,4,1.0,5.9,-37.7766,144.9143,185.0,300.0,1,0
1,3,1.0,14.2,-37.8958,145.11969,148.47,743.0,1,0
1,3,2.0,16.7,-37.88599,145.17031,124.0,365.0,0,1
1,2,1.0,6.9,-37.7695,144.9092,80.0,301.0,1,0
3,3,1.0,31.7,-37.57662,144.74767,101.0,515.0,0,1
1,3,2.0,7.9,-37.80576,145.06978999999995,203.0,679.0,1,0
1,3,2.0,12.2,-37.8614,145.1098,198.0,839.0,0,1
3,3,2.0,31.7,-37.67831,144.57342,118.0,586.0,0,1
3,3,1.0,8.8,-37.7368,145.05048,105.0,290.0,1,0
3,3,2.0,20.6,-37.59715,144.89656000000005,225.5,618.0,0,1
3,4,2.0,10.4,-37.73435,144.8768,163.0,650.0,0,1
1,3,2.0,3.8,-37.8353,144.9442,169.0,140.0,1,0
1,2,1.0,13.9,-37.9079,145.0685,80.0,154.0,0,1
3,3,2.0,7.8,-37.7424,144.9571,112.0,531.0,0,1
1,2,1.0,3.5,-37.7737,144.9822,105.0,487.0,1,0
1,2,1.0,9.3,-37.8928,145.0149,117.0,505.0,1,0
1,3,2.0,2.1,-37.8357,144.9531,195.0,204.0,1,0
3,3,1.0,4.2,-37.7938,144.9228,113.0,284.0,1,0
3,3,1.0,6.6,-37.8094,144.8869,116.0,350.0,1,0
3,3,1.0,5.9,-37.76300000000001,144.9439,119.0,275.0,1,0
1,4,2.0,10.7,-37.9205,145.0122,240.0,682.0,1,0
3,3,2.0,10.5,-37.7584,144.8568,153.0,582.0,1,0
1,2,1.0,3.3,-37.8445,144.9489,70.0,111.0,1,0
1,4,2.0,7.8,-37.8405,145.0903,163.0,813.0,1,0
3,3,3.0,5.9,-37.7559,144.9378,109.0,131.0,0,1
3,4,2.0,22.2,-37.98145,145.12833999999995,168.0,681.0,0,1
1,2,1.0,3.5,-37.7898,144.9794,64.0,107.0,1,0
3,3,1.0,4.2,-37.7929,144.9197,138.0,166.0,0,1
1,4,2.0,13.0,-37.9289,145.0481,168.0,611.0,0,1
1,3,2.0,5.9,-37.85892,145.03731000000005,149.0,395.0,1,0
1,2,1.0,9.7,-37.8128,145.0975,129.0,208.0,0,1
1,3,2.0,7.4,-37.8577,145.0406,181.0,227.0,0,1
1,2,1.0,8.0,-37.7418,144.8977,113.0,263.0,0,1
3,3,1.0,12.1,-37.706,144.9467,145.0,605.0,1,0
3,5,3.0,17.9,-37.65116,145.05438999999996,122.0,531.0,0,1
1,3,2.0,9.7,-37.7369,144.9251,180.0,654.0,1,0
1,4,2.0,13.9,-37.9153,145.0707,177.0,604.0,0,1
1,2,1.0,8.0,-37.7502,144.8923,100.0,646.0,1,0
1,2,1.0,1.8,-37.7984,144.9738,81.0,144.0,1,0
3,3,1.0,6.7,-37.72631,144.96274,150.0,533.0,1,0
1,3,1.0,11.2,-37.8148,145.0965,180.0,763.0,1,0
1,3,2.0,11.8,-37.903,145.0285,188.0,326.0,0,1
1,2,1.0,9.7,-37.8122,145.0879,104.0,115.0,1,0
3,3,1.0,8.4,-37.8415,144.8852,118.0,221.0,1,0
3,3,2.0,8.4,-37.8413,144.8741,170.0,753.0,0,1
3,4,1.0,5.9,-37.7747,144.9474,169.0,519.0,1,0
1,3,1.0,8.5,-37.8859,144.9994,119.0,275.0,1,0
3,4,2.0,6.7,-37.73697,144.97568,209.0,301.0,0,1
1,3,2.0,4.6,-37.8343,145.0112,214.0,117.0,0,1
3,2,1.0,12.1,-37.7128,144.9471,102.0,591.0,1,0
3,2,2.0,5.1,-37.78872,144.88891,94.5,88.0,0,1
1,4,2.0,11.4,-37.90433,145.05163000000005,178.0,590.0,1,0
1,2,2.0,13.9,-37.9293,145.0657,79.0,201.0,0,1
3,2,1.0,4.2,-37.7918,144.9264,101.0,197.0,1,0
3,3,2.0,8.4,-37.8435,144.8788,158.0,348.0,1,0
3,4,2.0,6.2,-37.84445,144.87966,181.0,409.0,1,0
1,3,2.0,11.4,-37.9007,145.047,130.0,817.0,1,0
1,2,2.0,11.4,-37.8911,145.0539,104.0,133.0,0,1
3,2,1.0,14.7,-37.90423,144.67008,113.0,190.0,0,1
3,4,2.0,8.4,-37.8413,144.8741,204.0,753.0,0,1
3,2,2.0,34.9,-38.09665,145.17646000000005,101.0,339.0,0,1
3,2,2.0,8.4,-37.8441,144.8805,127.0,213.0,0,1
1,3,2.0,6.9,-37.7609,144.9296,168.0,249.0,0,1
1,3,2.0,5.4,-37.81614,145.05056000000005,129.0,325.0,0,1
1,2,2.0,1.3,-37.81803,144.9892,115.0,87.0,0,1
3,3,1.0,16.7,-37.90354,145.14394,118.0,390.0,0,1
1,3,3.0,2.6,-37.8278,144.9984,184.0,119.0,0,1
3,3,1.0,16.3,-37.67146,145.03232,113.0,575.0,0,1
3,2,1.0,7.0,-37.8122,144.8671,81.0,304.0,1,0
3,3,1.0,7.8,-37.8083,144.8754,168.0,555.0,1,0
3,3,1.0,12.4,-37.7143,145.039,165.0,907.0,1,0
1,2,1.0,5.5,-37.774,145.0081,100.0,301.0,1,0
1,3,1.0,10.5,-37.91155,145.00656999999995,120.0,284.0,0,1
1,4,2.0,13.7,-37.9446,145.0092,188.0,714.0,1,0
3,3,1.0,20.6,-37.58739,144.92619,109.0,301.0,0,1
3,2,1.0,11.5,-37.7204,144.9131,91.0,161.0,0,1
3,5,3.0,22.2,-37.97545,145.12053999999995,153.0,619.0,0,1
3,2,1.0,9.9,-37.7315,144.9301,74.0,139.0,0,1
1,4,2.0,4.6,-37.8142,145.0252,173.0,218.0,1,0
1,2,2.0,7.7,-37.8865,144.9874,125.0,626.0,0,1
3,3,1.0,10.8,-37.7923,144.852,98.0,559.0,1,0
3,3,1.0,13.0,-37.7001,144.9291,106.0,325.0,0,1
1,3,1.0,13.0,-37.9149,145.0254,127.0,576.0,1,0
3,5,3.0,8.4,-37.75017,145.01203999999996,266.76,525.0,0,1
3,3,2.0,31.2,-38.07912,145.12965,170.0,379.0,1,0
3,3,1.0,23.2,-37.85063,145.25802,112.0,725.0,0,1
1,3,1.0,3.6,-37.79068,144.97824,116.0,139.0,1,0
3,4,1.0,6.3,-37.81188,144.88449,112.0,362.0,1,0
1,2,1.0,13.1,-37.8158,145.1384,80.0,171.0,0,1
1,5,2.0,5.2,-37.7767,144.9645,266.0,555.0,1,0
3,3,2.0,16.2,-37.72394,145.12456,157.0,260.0,0,1
3,3,1.0,16.5,-37.67949,144.88349,122.0,532.0,0,1
3,2,1.0,4.3,-37.77323,144.89268,88.0,81.0,0,1
3,4,3.0,9.1,-37.8307,144.8725,265.0,662.0,0,1
1,2,1.0,7.5,-37.74022,144.89557,105.0,856.0,1,0
3,2,1.0,9.4,-37.7443,145.0462,77.0,632.0,1,0
3,4,2.0,34.7,-38.09083,145.20139,152.0,534.0,0,1
1,2,1.0,4.5,-37.8501,144.9953,71.0,96.0,1,0
1,3,2.0,8.0,-37.8575,144.8922,117.0,292.0,0,1
1,3,2.0,9.7,-37.8125,145.0849,164.0,219.0,0,1
3,3,2.0,6.2,-37.83137,144.86731,129.0,334.0,0,1
1,2,1.0,3.3,-37.8446,144.9879,86.0,163.0,1,0
1,3,1.0,8.0,-37.7571,144.9335,114.0,551.0,1,0
1,3,1.0,7.4,-37.8511,145.0317,132.0,313.0,1,0
3,2,1.0,10.5,-37.7428,145.0557,79.0,508.0,1,0
3,3,2.0,14.7,-37.85473,145.1521,138.0,306.0,0,1
1,2,1.0,5.9,-37.7731,144.9206,102.0,173.0,1,0
1,4,2.0,13.7,-37.9407,145.0104,260.0,647.0,1,0
3,4,1.0,17.9,-37.67626,145.0659,123.0,666.0,0,1
1,4,2.0,9.2,-37.7841,145.0953,165.0,587.0,1,0
3,4,2.0,18.0,-37.6844,144.75595,174.0,600.0,0,1
1,2,1.0,10.9,-37.8179,145.1341,77.0,84.0,0,1
1,3,2.0,7.3,-37.84967,145.08388,101.0,374.0,1,0
3,3,1.0,16.3,-37.66958,145.02941,103.0,537.0,0,1
1,3,2.0,13.9,-37.7881,145.1371,175.0,233.0,0,1
3,3,1.0,8.4,-37.8457,144.8651,100.0,281.0,1,0
1,2,1.0,10.3,-37.7669,145.0521,95.0,112.0,0,1
3,3,1.0,12.6,-37.7793,144.8427,115.0,301.0,1,0
1,4,2.0,18.8,-37.93173,145.19475,204.0,914.0,0,1
1,2,1.0,8.0,-37.8581,144.9015,110.0,84.0,0,1
3,4,2.0,20.6,-37.57201,144.90896999999995,214.0,480.0,0,1
1,3,2.0,8.0,-37.7524,144.9074,190.0,440.0,1,0
3,4,2.0,16.1,-37.77559,145.17933,254.0,375.0,0,1
3,3,1.0,12.1,-37.7077,144.9438,115.0,568.0,1,0
3,3,1.0,5.2,-37.75744,144.94945,105.0,399.0,1,0
3,2,1.0,11.5,-37.712,144.9175,112.0,161.0,0,1
3,3,1.0,11.2,-37.69795,144.94285,131.27,697.0,1,0
1,3,2.0,9.0,-37.8206,145.0785,216.0,361.0,0,1
1,3,1.0,5.3,-37.82737,145.02971000000005,108.0,333.0,1,0
1,2,2.0,2.4,-37.82324000000001,144.99174,141.0,92.0,1,0
1,3,1.0,4.6,-37.8155,145.0385,109.0,383.0,1,0
3,3,1.0,14.0,-37.69237,144.93143999999995,110.0,576.0,0,1
1,4,2.0,9.7,-37.8032,145.0693,200.0,577.0,1,0
3,3,1.0,14.7,-37.9348,145.0836,120.0,533.0,1,0
1,2,1.0,13.0,-37.8988,145.0781,90.0,101.0,0,1
1,3,1.0,5.5,-37.7663,145.0118,131.0,440.0,1,0
1,2,1.0,10.2,-37.83275,145.1055,80.0,193.0,0,1
3,4,1.0,11.7,-37.74127,144.86648,176.0,615.0,0,1
1,2,1.0,6.5,-37.7564,144.9971,105.0,288.0,1,0
1,3,2.0,13.7,-37.9395,145.0088,113.0,373.0,0,1
3,3,2.0,6.4,-37.8012,144.8921,106.0,204.0,0,1
1,3,4.0,10.3,-37.92988,145.01085,201.0,424.0,0,1
1,2,1.0,3.3,-37.8443,144.9481,98.0,149.0,1,0
3,2,1.0,7.8,-37.747,144.9515,69.0,500.0,0,1
3,2,1.0,8.5,-37.72773,144.92628,111.0,103.0,0,1
3,3,2.0,15.0,-37.7279,145.1017,140.0,586.0,0,1
1,2,1.0,5.2,-37.7586,144.9653,77.0,173.0,0,1
1,4,2.0,7.5,-37.7981,145.0472,200.0,458.0,1,0
1,4,2.0,10.3,-37.762,145.0645,217.0,707.0,1,0
1,3,2.0,2.3,-37.8039,144.9424,170.0,61.0,1,0
1,4,2.0,9.2,-37.7841,145.0953,165.0,587.0,1,0
1,3,1.0,13.9,-37.7912,145.1248,115.0,638.0,0,1
3,3,1.0,10.5,-37.7807,144.83648,111.0,508.0,1,0
3,3,2.0,11.2,-37.7061,145.0308,137.0,456.0,0,1
1,3,1.0,7.8,-37.8333,145.0616,145.0,400.0,1,0
3,3,1.0,10.4,-37.71655,144.88155,101.37,219.0,1,0
3,3,2.0,31.7,-37.66745,144.55857,172.0,575.0,0,1
1,3,1.0,2.6,-37.8241,145.0015,81.0,162.0,1,0
3,3,2.0,17.9,-37.95569,145.06588,156.0,638.0,1,0
1,4,2.0,11.2,-37.8981,145.0,283.0,286.0,0,1
3,3,1.0,8.8,-37.7322,145.0318,98.0,266.0,0,1
3,2,1.0,11.2,-37.709,145.0219,83.0,132.0,0,1
3,3,1.0,17.9,-37.67561,145.05641,113.2,526.0,0,1
3,3,1.0,12.6,-37.7863,144.8401,159.0,224.0,0,1
3,3,1.0,13.3,-37.7705,144.8307,112.0,598.0,1,0
3,3,1.0,6.4,-37.7956,144.8848,99.0,242.0,1,0
3,3,2.0,17.9,-37.66898,145.07209,141.0,661.0,0,1
1,3,1.0,11.7,-37.8505,145.1065,92.0,308.0,0,1
3,3,2.0,2.0,-37.79557,144.99158,137.0,186.0,1,0
1,2,1.0,6.1,-37.8658,144.9795,112.0,194.0,1,0
3,3,2.0,7.0,-37.8124,144.8957,146.0,171.0,0,1
1,4,2.0,11.2,-37.8869,144.9982,195.0,549.0,0,1
3,4,2.0,13.0,-37.6969,144.9334,258.0,624.0,0,1
1,4,4.0,11.4,-37.91888,145.04775,156.0,673.0,1,0
3,3,1.0,8.5,-37.72803,144.94624,146.0,525.0,1,0
1,4,1.0,8.0,-37.8525,144.8945,150.0,307.0,1,0
3,3,2.0,9.9,-37.7283,144.9356,106.0,588.0,1,0
1,4,2.0,8.0,-37.757,144.9251,266.0,411.0,0,1
1,3,1.0,5.2,-37.7619,144.959,126.0,331.0,1,0
1,3,1.0,3.3,-37.8461,144.9528,131.0,238.0,1,0
3,3,1.0,14.8,-37.76545,144.76458,148.0,539.0,0,1
3,3,2.0,16.1,-37.71846,145.09689,130.0,653.0,0,1
3,4,3.0,13.0,-37.709,144.9373,271.0,715.0,0,1
1,2,1.0,6.9,-37.7639,144.9093,97.0,225.0,1,0
1,5,3.0,8.0,-37.8629,144.8781,288.0,531.0,0,1
3,3,2.0,20.5,-37.6366,145.07226,152.0,362.0,0,1
3,2,1.0,6.7,-37.73883,144.95321,97.0,476.0,1,0
3,3,1.0,13.5,-37.7843,144.8052,120.0,701.0,1,0
1,3,1.0,2.3,-37.7987,144.9497,129.0,83.0,0,1
1,3,2.0,2.1,-37.8351,144.9675,138.0,138.0,0,1
3,1,1.0,11.2,-37.70917,144.92291,75.0,124.0,0,1
3,3,1.0,6.4,-37.79638,144.87911,111.0,269.0,1,0
1,3,3.0,9.7,-37.7189,144.9036,207.0,250.0,0,1
1,3,1.0,13.9,-37.9262,145.0808,110.0,565.0,1,0
3,4,1.0,6.6,-37.8059,144.8899,150.0,352.0,1,0
1,3,2.0,13.8,-37.92599000000001,145.07537,194.0,632.0,1,0
1,4,2.0,10.7,-37.9292,145.0236,286.0,654.0,0,1
1,4,1.0,11.8,-37.9062,145.0263,235.0,903.0,0,1
3,4,2.0,14.6,-37.9381,145.0534,140.0,603.0,1,0
3,4,2.0,18.0,-37.68175,144.74087,230.0,704.0,0,1
1,4,2.0,4.6,-37.8183,145.0371,235.0,336.0,1,0
3,4,2.0,14.7,-37.89359,144.66911000000005,237.0,555.0,0,1
1,3,1.0,8.9,-37.76093,145.056,116.0,598.0,1,0
3,3,2.0,13.6,-37.8856,145.0934,112.0,235.0,0,1
3,4,2.0,14.6,-37.9394,145.0408,218.0,720.0,1,0
1,3,1.0,5.2,-37.7563,144.96,104.0,184.0,1,0
3,2,1.0,14.6,-37.9363,145.0564,68.0,180.0,0,1
1,3,1.0,7.0,-37.75937,145.01533999999995,151.0,470.0,1,0
1,3,2.0,13.9,-37.9119,145.0705,110.0,730.0,0,1
3,3,1.0,9.2,-37.7323,144.9833,97.0,498.0,1,0
