Price,SuburbClass,Rooms,Bathroom,Car,Distance,Latitude,Longitude,HouseAgeType_historic,HouseAgeType_modern
1035000.0,1,2,1.0,0.0,2.5,-37.8079,144.9934,1,0
1465000.0,1,3,2.0,0.0,2.5,-37.8093,144.9944,1,0
1600000.0,1,4,1.0,2.0,2.5,-37.8072,144.9941,0,1
1876000.0,1,3,2.0,0.0,2.5,-37.8024,144.9993,1,0
1636000.0,1,2,1.0,2.0,2.5,-37.806,144.9954,1,0
1097000.0,1,2,1.0,2.0,2.5,-37.801,144.9989,1,0
1350000.0,1,3,2.0,2.0,2.5,-37.8085,144.9964,0,1
1310000.0,1,2,1.0,2.0,2.5,-37.809,144.9976,1,0
1200000.0,1,3,2.0,1.0,2.5,-37.8056,144.993,1,0
1176500.0,1,3,1.0,1.0,2.5,-37.8021,144.9965,1,0
890000.0,1,2,1.0,1.0,2.5,-37.8011,145.0004,0,1
1330000.0,1,4,2.0,2.0,2.5,-37.8073,144.9952,1,0
1100000.0,1,2,2.0,1.0,2.5,-37.8079,144.9977,0,1
1315000.0,1,2,1.0,0.0,2.5,-37.808,144.994,1,0
1447500.0,1,3,3.0,1.0,2.5,-37.8017,145.0001,0,1
1135000.0,1,2,2.0,2.0,2.5,-37.8005,144.9952,1,0
1290000.0,1,3,1.0,1.0,2.5,-37.8007,144.9958,1,0
1180000.0,1,2,1.0,0.0,2.5,-37.8016,144.9956,1,0
1195000.0,1,3,2.0,1.0,2.5,-37.8022,144.9954,0,1
1012500.0,1,2,1.0,0.0,2.5,-37.8021,144.9976,1,0
1030000.0,1,2,1.0,1.0,2.5,-37.8086,144.9946,1,0
840000.0,3,3,2.0,1.0,13.5,-37.718,144.878,0,1
603000.0,3,2,1.0,1.0,13.5,-37.7294,144.888,1,0
700000.0,3,3,2.0,2.0,13.5,-37.7218,144.8837,0,1
600000.0,3,3,1.0,1.0,13.5,-37.7273,144.8744,0,1
500000.0,3,2,1.0,1.0,13.5,-37.7215,144.8864,0,1
450000.0,3,2,1.0,1.0,13.5,-37.7216,144.871,0,1
515000.0,3,2,1.0,1.0,13.5,-37.7298,144.8883,0,1
530000.0,3,2,1.0,1.0,13.5,-37.7234,144.8792,0,1
752000.0,3,3,1.0,1.0,13.5,-37.7302,144.8855,0,1
700000.0,3,3,2.0,2.0,13.5,-37.727,144.887,0,1
675000.0,3,2,1.0,1.0,13.5,-37.7187,144.8765,0,1
1042000.0,3,3,2.0,5.0,13.5,-37.7173,144.8796,1,0
810000.0,3,3,3.0,2.0,13.5,-37.7285,144.8694,0,1
715000.0,3,3,2.0,2.0,13.5,-37.7164,144.8792,0,1
540000.0,3,3,2.0,1.0,13.5,-37.7231,144.8802,0,1
825000.0,3,3,2.0,1.0,13.5,-37.72,144.8776,1,0
685000.0,3,3,1.0,1.0,13.5,-37.7226,144.8733,0,1
900000.0,3,4,2.0,3.0,13.5,-37.7256,144.8739,0,1
1275000.0,1,2,1.0,0.0,3.3,-37.8459,144.9555,1,0
2850000.0,1,3,2.0,0.0,3.3,-37.8481,144.9499,1,0
1850000.0,1,3,2.0,0.0,3.3,-37.8452,144.9488,1,0
1436000.0,1,2,1.0,0.0,3.3,-37.8431,144.9565,1,0
2300000.0,1,4,2.0,1.0,3.3,-37.8447,144.9523,1,0
1800000.0,1,3,2.0,1.0,3.3,-37.8415,144.952,0,1
2120000.0,1,2,1.0,1.0,3.3,-37.8422,144.9554,1,0
1800000.0,1,3,2.0,1.0,3.3,-37.8421,144.9571,1,0
2615000.0,1,3,2.0,1.0,3.3,-37.8415,144.9585,1,0
1322500.0,1,2,1.0,0.0,3.3,-37.8443,144.9481,1,0
1562500.0,1,2,1.0,0.0,3.3,-37.8424,144.9562,1,0
2000000.0,1,3,2.0,1.0,3.3,-37.847,144.9575,1,0
3010000.0,1,3,2.0,0.0,3.3,-37.8473,144.9551,1,0
2800000.0,1,4,3.0,1.0,3.3,-37.8467,144.9475,1,0
2100000.0,1,3,1.0,1.0,3.3,-37.8427,144.9546,1,0
2000000.0,1,3,1.0,1.0,3.3,-37.8461,144.9528,1,0
4735000.0,1,4,2.0,1.0,3.3,-37.8477,144.9558,1,0
2140000.0,1,4,2.0,1.0,3.3,-37.8434,144.9495,1,0
980000.0,1,2,1.0,0.0,3.3,-37.8387,144.9519,1,0
1740000.0,1,3,2.0,2.0,3.3,-37.8448,144.9453,1,0
985000.0,1,1,1.0,0.0,3.3,-37.8411,144.9497,1,0
2000000.0,1,4,2.0,4.0,6.4,-37.7707,145.0318,1,0
1717500.0,1,4,2.0,1.0,6.4,-37.7717,145.031,1,0
2840000.0,1,5,4.0,4.0,6.4,-37.775,145.0268,1,0
525500.0,1,2,1.0,1.0,6.4,-37.7791,145.0306,1,0
805000.0,1,2,2.0,3.0,6.4,-37.7804,145.0308,0,1
1830000.0,1,4,2.0,2.0,6.4,-37.7743,145.0316,0,1
2100000.0,1,4,2.0,2.0,6.4,-37.7723,145.0319,0,1
865000.0,1,3,1.0,1.0,6.4,-37.7802,145.0243,0,1
1900000.0,1,4,2.0,2.0,6.4,-37.7844,145.0225,1,0
1950000.0,1,4,2.0,3.0,6.4,-37.7719,145.0309,1,0
520000.0,3,3,2.0,1.0,13.8,-37.87,144.825,0,1
1525000.0,3,5,3.0,3.0,13.8,-37.8721,144.8105,0,1
720000.0,3,2,1.0,2.0,13.8,-37.8687,144.8197,0,1
1120000.0,3,3,1.0,2.0,13.8,-37.8693,144.8375,1,0
630000.0,3,3,1.0,2.0,13.8,-37.8702,144.8143,1,0
660000.0,3,3,1.0,1.0,13.8,-37.8616,144.8116,1,0
580000.0,3,2,1.0,1.0,13.8,-37.8696,144.827,0,1
510000.0,3,2,1.0,1.0,13.8,-37.8686,144.8182,0,1
425000.0,3,2,1.0,2.0,13.8,-37.871,144.8185,0,1
845000.0,3,4,1.0,2.0,13.8,-37.8658,144.8155,1,0
730000.0,3,3,2.0,1.0,13.8,-37.868,144.8286,0,1
447000.0,3,2,1.0,1.0,13.8,-37.8655,144.8299,0,1
678000.0,3,3,1.0,2.0,13.8,-37.8608,144.8124,1,0
580000.0,3,2,2.0,1.0,13.8,-37.8687,144.8268,0,1
840000.0,3,3,2.0,2.0,13.8,-37.86,144.8245,0,1
577000.0,3,3,2.0,1.0,13.8,-37.8684,144.815,0,1
857000.0,3,2,2.0,1.0,13.8,-37.8653,144.8129,1,0
535600.0,3,2,1.0,1.0,13.8,-37.8646,144.8272,0,1
1085000.0,3,5,3.0,6.0,11.1,-37.8388,144.8567,0,1
781000.0,3,3,1.0,2.0,11.1,-37.8291,144.835,0,1
421000.0,3,2,1.0,1.0,11.1,-37.8351,144.8529,0,1
683000.0,3,3,1.0,2.0,11.1,-37.8284,144.8355,0,1
588000.0,3,3,1.0,1.0,11.1,-37.838,144.8555,0,1
710000.0,3,3,1.0,3.0,11.1,-37.8294,144.8378,1,0
875000.0,3,4,1.0,4.0,11.1,-37.8448,144.8529,0,1
675000.0,3,3,2.0,2.0,11.1,-37.8337,144.8554,0,1
708000.0,3,3,1.0,2.0,11.1,-37.8258,144.8523,1,0
693000.0,3,4,2.0,4.0,11.1,-37.8391,144.8467,0,1
620000.0,3,3,2.0,2.0,11.1,-37.8262,144.8443,0,1
728500.0,3,3,1.0,1.0,11.1,-37.8277,144.8385,1,0
931000.0,3,3,2.0,1.0,11.1,-37.8382,144.8649,1,0
815000.0,3,3,2.0,3.0,11.1,-37.8318,144.8388,1,0
1200000.0,3,4,1.0,4.0,11.1,-37.8375,144.8541,1,0
292000.0,3,2,1.0,1.0,11.1,-37.8332,144.8649,0,1
1205000.0,1,3,2.0,2.0,6.3,-37.854,145.0135,0,1
1939000.0,1,3,2.0,2.0,6.3,-37.8614,145.0274,1,0
1870000.0,1,3,1.0,1.0,6.3,-37.8592,145.0182,1,0
2050000.0,1,3,2.0,1.0,6.3,-37.8574,145.0281,1,0
1435000.0,1,1,2.0,1.0,6.3,-37.8564,145.0228,1,0
1210000.0,1,2,1.0,0.0,6.3,-37.8543,145.016,1,0
2801000.0,1,4,2.0,2.0,6.3,-37.8536,145.0173,1,0
1800000.0,1,3,2.0,2.0,6.3,-37.8545,145.0145,1,0
2200000.0,1,4,1.0,2.0,6.3,-37.8613,145.0264,1,0
1300000.0,1,3,1.0,2.0,6.3,-37.8542,145.0149,1,0
1900000.0,1,3,1.0,2.0,6.3,-37.8559,145.0158,1,0
1285000.0,1,3,1.0,2.0,6.3,-37.8554,145.0173,1,0
